,company_name,position
940,Spotify,24
472,Google,20
122,Bank of America,16
577,JP Morgan Chase,15
348,Deloitte,11
212,Capgemini,10
697,NBCUniversal,10
985,Tempus,10
154,Boston Children's Hospital,10
809,PepsiCo,9
288,Commonwealth of Massachusetts,9
1012,The University of Chicago,9
691,Morgan Stanley,9
1113,Wayfair,9
593,KPMG,9
1090,Verizon,8
1106,WALGREENS,8
147,"Blue Cross Blue Shield of IL, MT, NM, OK & TX",8
66,"Amazon.com Services, Inc.",8
16,AETNA,8
665,McKinsey & Company,8
355,Digitas,8
799,Partners HealthCare(PHS),8
153,Bose,7
169,Brigham & Women's Hospital(BWH),7
1029,TransUnion,7
650,MassMutual,7
760,Northwell Health,7
1065,Uber,6
259,Civis Analytics,6
1056,UChicago Medicine,6
471,Goldman Sachs,6
499,Harvard University,6
526,Humana,6
1071,United Airlines Inc.,6
117,BNY Mellon,6
653,Massachusetts General Hospital(MGH),6
34,Accenture,6
552,Indigo,6
334,Dana-Farber Cancer Institute,6
708,NYU Langone Health,6
875,Rush University Medical Center,6
177,Brown Brothers Harriman,5
338,DataRobot,5
575,JLL,5
882,"SMS Assist, LLC",5
145,Bloomberg,5
248,Chicago Public Schools,5
749,Nielsen,5
116,BMO Financial Group,5
482,Groupon,5
1119,Weill Cornell Medicine,5
215,Carbonite,5
1115,WeWork,5
468,GoHealth,5
407,Evolent Health,5
963,Syntricate Technologies,4
587,"KAR Auction Services, Inc.",4
948,State Street,4
732,New York City FINANCIAL INFO SVCS AGENCY,4
672,Medline Industries Inc,4
79,"Anthem, Inc.",4
860,Relativity,4
213,Capital One,4
69,American Medical Association,4
68,American Express,4
263,Clearcover,4
718,"Navistar, Inc.",4
133,Beth Israel Deaconess Medical Center,4
383,Echo Global Logistics,4
418,Facebook,4
1091,Vertex Pharmaceuticals,4
425,Fidelity Investments,4
381,EY,4
1074,UnitedHealth Group,4
818,Pluralsight,4
275,Cogo Labs,4
1066,Ulta Beauty,4
452,Gallagher,4
460,Getty Images,4
1046,Tufts Medical Center,4
744,New York University,4
508,Healthfirst,4
525,HubSpot,4
365,DraftKings,4
236,Cengage,4
398,Enterprise Peak,4
788,"Outcome Referrals, Inc.",3
138,Biogen,3
173,Broadway Direct,3
172,Broad Institute,3
757,Northern Trust Corp.,3
763,Novartis,3
761,Northwestern University,3
162,Boston Technology corporation,3
734,New York City HRA/DEPT OF SOCIAL SERVICES,3
156,Boston Medical Center (BMC),3
737,New York City NYC HOUSING AUTHORITY,3
738,New York City TAXI & LIMOUSINE COMMISSION,3
0,#TeamGoHealth,3
550,Impresiv Health,3
688,Molex,3
684,Mintel,3
346,Defined Clarity,3
317,Criteo,3
362,Dow Jones,3
367,Drivin,3
375,Dyson,3
380,EVERSOURCE,3
297,Confidential Search Firm,3
295,Conde Nast,3
415,FDM Group,3
417,FRESENIUS,3
285,Comlinkdata,3
435,Forward Financing,3
436,"Foundation Medicine, Inc.",3
437,Foursquare,3
276,Collage.com,3
256,Citi,3
253,Circulation Inc.,3
501,HawkinsPointPartners,3
246,Chewy,3
535,"IMO - Intelligent Medical Objects, Inc.",3
562,Integral Ad Science,3
572,Ipsos North America,3
636,MIT,3
638,MLWIZ Team,3
640,Macy's,3
201,CVS Health,3
677,MetroPlus Health Plan,3
803,Paytronix Systems,3
163,Boston University,3
333,DRW,3
103,Avanade,3
1127,William Blair & Company,3
1037,TripAdvisor,3
896,Santander Bank,3
839,QABASA,3
1038,TripleLift,3
955,Suffolk Construction,3
