,job_title,company_name
112,Business Analyst,125
381,Data Engineer,118
329,Data Analyst,103
440,Data Scientist,101
1008,Senior Data Scientist,37
1001,Senior Data Engineer,17
218,Business Systems Analyst,16
904,Research Analyst,15
985,Senior Business Analyst,15
192,Business Intelligence Analyst,11
1114,Technical Business Analyst,9
997,Senior Data Analyst,8
883,Quantitative Analyst,7
1071,Sr. Data Scientist,7
10,Analyst,7
713,Junior Data Analyst,6
662,IT Business Analyst,6
144,Business Analyst II,6
741,Lead Data Scientist,6
88,BUSINESS ANALYST,5
63,Associate Data Scientist,5
100,Big Data Engineer,5
884,Quantitative Data Analyst,4
545,DevOps Engineer,4
914,Research Data Analyst,4
841,Principal Data Scientist,4
754,Machine Learning Engineer,4
189,Business Development Analyst,4
778,Marketing Data Analyst II,4
651,Healthcare Data Analyst,4
