,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date
1,p_133e04e3312cfeee,New+York,data+engineer,Data Engineer,Twentieth Century Fox,"New York, NY","Advertising technology plays a very important role toward these goals, so as a Data Engineer supporting the Data Science team in the Ad Ops department, you will...",NOT_FOUND,https://www.indeed.com/rc/clk?jk=133e04e3312cfeee&fccid=2b0b50308603a0be&vjs=3,2 days ago
2,pj_4d5c8362784bbd60,New+York,data+engineer,STAFF DATA ARCHITECT ENGINEER,Collins Aerospace,NOT_FOUND,"Build and grow the organizational knowledge and skills for data solutions, including data warehousing, data analytics, and machine learning technologies....",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BAtxMHZhQvLCdFN4p5UmlRiHjbP3xYoXE-uS6zIfasbHUcYwzTM4qD9AqV_uVuA3kMxDICxOKdb4u9JEXoKO7gfDCeIqseP9GolpOVHC1b7nRCNV0jggZWW7ufwa7Xj06RF6HLi8xA2L2cdzc061QlsLiArenur3MS0lrUHy3W-nN-IxsaqlZyvMPLIKkvGrz4DrbE4S1qAukiV2OjBymjmVy7t3QQoRpnvQhhGQkQVTHU7f3FaabStd6y8DgzSuH_b3P8EVh7L9GozB6vdVb-X656pKvgVZ-uaOGIboIXoDaRiAC22qu4oSut-TpHnfmI1kfasc2MBiugjWR8v6gHrIcg_9D9FiYBNwhPxukwdUcIvDxniIl7EFcBDSMg5LFWZULQcHhfcCyuPYTS07pNkqtAPOHVxq0W7Y3MeactyIRikef4wVji5air_SaqcE08dB3wrm-TmiwardAvTT_d3MHlyFJNbQkwoU2YZQNezg==&p=0&fvj=0&vjs=3,NOT_FOUND
3,pj_8e2de3e83b23af14,New+York,data+engineer,Data Engineer,Capital One,NOT_FOUND,"As a Data Engineer in C4ML, you will build fast data and machine learning solutions to address some of the many complex problems in the financial services...",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Df7omC-GtahyNxudWjWdRw8LExJdOXROlwosWN8T8mJZAl0LVGEJ4O39BguVHX-uckHf0L8DWWLm4JvW_WE6FazRbXuNQxHLLyuamSXLWKVlK6h5aDCtpzu5hokCqw5A9ghWUoPVkMCfOfTiZkF41TCz2sbwCOuTUg4Zgu-vvzYBGsLJacTfjhPuueg7GO4u9ST43Cnt9DLZtmYGtAvkpWXKPwCwWKjRTLFC5JBOgfJstjIFyfc0vZu2c-V8gz-iNBCC1Nk6CNoUR53NvofLpvV8NlApZNMA2t-VjhEuox63Zwxi0s0Fadj0LdHbNlTYaD_UWl5Pv5kiqUN7Ikgc-z_9KgFm4zYxKfi8UD_lzcwaXZZBFObqSfqMAYzaUDsODR9Gp8gMM2y1WpdQlLp6sVvXBLxgUuDam8JQZF3VtZUYs9fFWUtCZeIv3QQsnmUDSuJcTgwUZvrR9UoSP4whqfbunZhBPcVCq0RRgzFO-vGFjrHzRPYA8Av79ZiwJlJj_aCwEeEoJP7CvnDXT8bqemQhdDblr2bxzzjJILJhoiU8zSjuSl1CGe2dXb0DxP1nf7BFTn_kStguuJy6pfmFhN51reCRt2cCuwH8IMaOMzq2_eqI-PX4_wdAmeVVV2RPLIGM2TbE5B4CVAMvysxpv4bCAqa1Yfg8WY9eE2B0I9EqmKEWpsQhhKwVhrJV4XNAD9GVMUtF92AOYGk906r04-tmFWuuKjtabgQjAnoU1nLsycAVmOpbdf6ZMrFukDSi6V7rxUTlvIwDUu6xrL9MmBFTggmVB361r1yyCcBZZ08xJL5HmLDhanpTiQxpxYobXZw4ddLWXHTJa6PZ07VL6HSEvQlbpjY38XGRo2MAx4SevucrP0BlWdKoFD4MGiQEvXXnJsBbb_XFf5OdYQQ8ux0qGGb7TkRxlykiji6KBiRlbywomuKSCK-VEfyCjIGxOJyLiInd1J-IxQpNw2cRi_rG4bPW4R9BimfQLabmyU88kVjejAjhOnuB7BaycUayWrCdafVESbaw==&p=1&fvj=0&vjs=3,NOT_FOUND
4,pj_6f70c697d5da65e6,New+York,data+engineer,Software Data Engineer,1010data,NOT_FOUND,"Working actively with data scientists and analysts specializing in enterprise data warehousing, you will leverage industry-standard data orchestration tools as...",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BlrgrFrEpemNixPAG61kflGlilJD9shIeb2__xeshlUZl_Nc9t8jnNgDiG_J4M72nSPCtAZXWTIUs3fWq5v4Pk8SjFupEa_YsGbBIUoXSeDeL6rI8YbTH5V7_ZWRYmydgJDJB2kzzcNpK40nXJSV2Hj5KadhpNwMibjlzAmBBNla9T4kQeC-pKYQXvHOL6JjN41tTjCZLvI8se6Of37mg39gCt5QHww3DLbbWt-9qukBfYzwrAKP4uYxp8mdXlMndHxdrbl6OOCitl3W0WVnRulRU-w4-ldj_CQG5Ifhj7GPzRUSDT5V-E4birxFx2wKasQqQrg9o1CxhciKsHVE_3laHwsu7TPA1BdgoevTysmOdrK7WDDBilpNWSWiQB09s=&p=2&fvj=0&vjs=3,NOT_FOUND
5,pj_590bdf2ff6e34165,New+York,data+engineer,Resident Engineer,Gedeon GRC Consulting,NOT_FOUND,"NYS Professional Engineer (P.E.), ASCE Grade V. The Resident Engineer is responsible and accountable for the inspection, supervision and control of performance...",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C5qm7KIVn7XxfGcorLncO-IMaH4GRGH8BuYEk_ei_TW1ExNzenkPIFxEENywxZrPvuoHriV--REK5q_jNeedyTzKSVFX7l-KejXaviRQ-2qASI0KXktN-l1qmwze73SQBVQ6Sr5lQplMmlPaDlBoOmAutaaeb1mt3cPiuL3CeaaOLgAqffl1bVroDvVNy_qcTE9gcFU5svkuawsRX-4fq1Pi04vkh-9ssL3gd7fbyuOF1k0bP4kdWbaFeRbGxLdyGrlzSi1f2RRV7zmCaDvubYIFXji2m5ZXofDGtG0ibnhTQMxq3rXbbTP4hQDs8oZJ2i7BsskgWgWLnZvS1JXNiObOrJ8v872K61jXhR45xP0RyfUqeRFxtrtX3Dv3wuKD2zRVLxaf903g6_acelgVqWL7HxizzR7Tw1TXiQdLG34EjM1IhJFiIQYbqk9n5KKJM=&p=3&fvj=1&vjs=3,NOT_FOUND
6,pj_c6c0f4ae4a8dfb76,New+York,data+engineer,ETL Data Engineer,Confidential Search Firm,NOT_FOUND,ETL Data Engineer - SnowSQL*. Data Engineer will also be responsible for data quality and understanding the data needs our various source data in order to...,"
                $100 - $115 an hour",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Db6iHSG4KiiHQMIT45JlKhnXSbmTNEfac6g6iCPN8mXpowjPrDbg8SU8EuNZ-DsFN6euGy3FrQHXvBbu6kwiwZ5saZtpjM1OwLmddfQBSFoVkLoYSzQte5A17Le0lfn8TfQfoke8_zjriY8N4Aj8TGuNUPxh1uge16XEyh2ll7JSO8881seFG04esMbyAOk3Xp_rrmTzD1EueIkcaDWAYHfy9QxVFXUgL24V2sFY-YBAhmv2Ws_mpnZ8ony544ptRnNw9_wlm7hoOHdVirk7kfFoYoJB0EgR7psiLWv8EjK0xvOhb_URKCl7j_HghF36M1G0U268XU1WeKqnIE2Asieo4c5-t0ILkjkTU9mpaJmpou7Qk692UQm4h3LW_zn2QXkT66VuBll6xp1sK6CHiaC8oBQXpPWoXjqAmAsKfMqJ-h39WloP-f&p=4&fvj=1&vjs=3,NOT_FOUND
7,pj_ba3142c6ce402cf4,New+York,data+engineer,ETL Data Warehouse Automation Engineer,Confidential Search Firm,NOT_FOUND,"Data Warehouse Automation Engineer*. Working knowledge of Semi-Structured data formats such as XML, Json. Will develop Code Automation templates for building...","
                $90 - $105 an hour",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Db6iHSG4KiiHQMIT45JlKhnXSbmTNEfac6g6iCPN8mXpowjPrDbg8SxXqVPcswRWhMg8V_duo_neTFYFb2NAv4e8iMmdq0PX7q66CRyZWcbS3YoPQcIRPrJ1Zpx7ttMDhoqL10s7rfi_SRTgkirEMcjaACeWdSjeusBtKem6vZwmrcE0k0v2g1OXnv9C-ApIEXzTRTdEznLjGpnqBcpb7ybbeiYfQjpiGY2NSqpHqtQnsFHlqYoBxXMYVKA40sfcygoXlUusCSl7xi0keCP8hPuPB-rXU-PnlQmKCm8XRXgk3RD9NXTtKD74F1M5PTUM84CCaILoI6gdWnNz9dOjLhcJR1OFcq_c23ltaFTaJENz9U9RnBQr7-LPQqRwC09RFFso2XqlhgBcBNryuNmtRzhgqQuks2TX5qGLVcJ9IWIeNh5YRQN6JBg27ClyM812tOPSfanTZxOyvXLcyasYWQ4bLMI1SB_Og=&p=5&fvj=1&vjs=3,NOT_FOUND
8,pj_21302dbf5dcced61,New+York,data+engineer,Data Engineer (Technology Startup),Averity,NOT_FOUND,This is phenomenal opportunity for an experience Data Engineer to join a great organization and make an impact immediately....,"
                $120,000 - $160,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DaqLoIGYbn5Lqe37Jn8hZ99RqUAC2d_AL-tR18DHYTQIrTKMlae1xkkl_VgT2Shu38JeDLnWO-SYqv2YaxWyg_NxaFgWaxP6egf6ibHqFkVO2HyVahkL7rYaJnIUFlyQ_TeiejzpRiBavZMycf68aom_X8R1Fzxxdrvdipahwe2xzVSiYAOh8MYzbaNzVJd6OLcuVdyoMTOM7BDtDNRdKD-CKU3gZMzE0DcuMkH99P6Vw0T1nLgqIOwYgr4T49Ugaxys6sHA7idMHHcq4qW6Hm6HiB8xgttSFTw-JzYc9lIDYuHlvd9mY2JA4pxdxMYtpir0qz44hb0zlxFBwhrv2W_9_VyIA8K1u2bBm2HAGaLBx7pnJOaxsSNmTHMkSw1bzkpZVxmudy_kbAJQsrgIiVPXq5a9lVm3zsBqYF-QuwCD8gyjcf3vEN9nJo7xbagxC50G12Ec4hhQ==&p=6&fvj=1&vjs=3,NOT_FOUND
9,p_4ed6d022ffbc7bd6,New+York,data+engineer,Data Engineer,NBCUniversal,"New York, NY","The Data Engineer will be directly responsible for data pipelines, data management, development, operationalizing of machine learning models, and scaling out...",NOT_FOUND,https://www.indeed.com/rc/clk?jk=4ed6d022ffbc7bd6&fccid=35d653c09c2712b6&vjs=3,6 days ago
10,p_bf35751cb900c171,New+York,data+engineer,Data Engineer I,Conde Nast,"New York, NY 10048","The Data Services team is seeking a Data Engineer with a passion for creating data products to help create more engaging, personalized experiences for users...",NOT_FOUND,https://www.indeed.com/rc/clk?jk=bf35751cb900c171&fccid=7ca1385998532a85&vjs=3,5 months ago
