,company_name,position
1691,Spotify,45
812,Google,36
1000,JP Morgan Chase,33
2010,Wayfair,29
584,Deloitte,24
1032,KPMG,23
1832,The University of Chicago,22
262,"Blue Cross Blue Shield of IL, MT, NM, OK & TX",21
56,Accenture,21
811,Goldman Sachs,20
2012,WeWork,20
716,Facebook,20
118,"Amazon.com Services, Inc.",20
1411,Partners HealthCare(PHS),18
1704,State Street,17
494,Commonwealth of Massachusetts,17
1337,Northwestern University,17
1785,Tempus,17
374,Capgemini,16
223,Bank of America,16
1218,Morgan Stanley,16
1163,McKinsey & Company,15
860,Harvard University,15
212,BNY Mellon,15
1995,WALGREENS,15
576,DataRobot,15
1169,Medline Industries Inc,14
80,Aetna,13
453,Civis Analytics,13
505,Conde Nast,13
571,Dana-Farber Cancer Institute,13
1907,Ulta Beauty,12
165,Argonne National Laboratory,12
834,Groupon,12
210,BMO Financial Group,12
301,Brigham & Women's Hospital(BWH),12
259,Bloomberg,12
1597,"SMS Assist, LLC",12
1318,Nielsen,12
907,Humana,11
1888,"Two Sigma Investments, LLC.",11
749,Formlabs,11
271,Bose,11
2087,"eiWorkflow Solutions, LLC",11
1572,Rush University Medical Center,11
1871,TripAdvisor,11
945,Indigo,11
115,Amazon Robotics LLC,11
1143,Massachusetts General Hospital(MGH),11
126,American Express,11
598,Digitas,10
1232,NBCUniversal,10
1255,NYU Langone Health,10
1796,The Boston Consulting Group,10
1222,Motorola Solutions,10
1310,New York University,10
417,Chamberlain Group Inc,10
488,Comcast,10
1906,Uber,10
471,CodaMetrix,10
29,AETNA,10
835,Grubhub,10
144,Ann & Robert H. Lurie Children’s Hospital of Chica...,9
1962,Verizon,9
730,Fidelity Investments,9
1859,TransUnion,9
1395,PNC Financial Services Group,8
782,Gallagher,8
168,Arrayo,8
281,Boston Medical Center (BMC),8
1161,McDonald's Corporate,8
1146,MathWorks,8
1303,New York City TAXI & LIMOUSINE COMMISSION,8
1052,Kronos Incorporated,8
611,Dow Jones,8
1622,Sea Machines Robotics Inc.,8
188,Avanade,8
1083,Liberty Mutual Insurance,8
1426,PepsiCo,8
1254,NYU Langone,8
309,Broad Institute,8
497,Compass,8
1375,Options Clearing Corporation,7
1242,NORC at the University of Chicago,7
147,"Anthem, Inc.",7
1435,Pfizer Inc.,7
1252,NYC Health + Hospitals,7
1763,Takeda Pharmaceuticals,7
969,Integral Ad Science,7
1117,MIT,7
799,Glassdoor,7
541,Criteo,7
289,Boston University,7
1824,The New York Times,7
624,Dupage Medical Group,7
276,Boston Children's Hospital,7
913,IBM,7
998,JLL,7
1689,SpotHero,7
2016,Weber Shandwick,7
483,Columbia University,6
871,Healthfirst,6
312,Brown Brothers Harriman,6
851,HSBC,6
865,HawkinsPointPartners,6
852,HUB International,6
380,Carbonite,6
1535,Relativity,6
794,Getty Images,6
1400,PTC,6
1342,Numerator,6
933,ITL USA,6
944,Indeed Prime,6
983,Invenergy,6
1334,Northwell Health,6
989,Ipsos North America,6
1305,New York Life Insurance Co,6
1292,New York City DEPT OF HEALTH/MENTAL HYGIENE,6
1,1010data,6
1094,LogMeIn,6
1188,Microsoft,6
1214,Montefiore Medical Center,6
128,American Medical Association,6
0,#TeamGoHealth,6
1920,UnitedHealth Group,6
2051,XPO Logistics,6
1915,United Airlines Inc.,6
100,AllianceData,6
1895,UChicago Medicine,6
1970,Viacom,6
1702,Starry,6
95,"Alexion Pharmaceuticals,Inc.",6
589,Deutsche Bank,5
1184,Michael Kors,5
1332,Northern Trust Corp.,5
684,Etsy,5
1643,Shirley Ryan Ability Lab,5
90,Akuna Capital,5
1735,Synchrony,5
286,Boston Scientific Corporation,5
284,Boston Private Bank & Trust,5
694,Evolent Health,5
561,DELL,5
243,Beth Israel Deaconess Medical Center,5
1740,Syntricate Technologies,5
1392,PCMI Corporation,5
574,DataAxxis,5
935,IlliniCare Health Plan,5
1140,MassMutual,5
847,HNI Corporation,5
643,EY,5
23,ACE Hardware,5
1231,NATIONAL GRID CO USA (NE POWER),5
1251,NYC Data Science Academy,5
375,Capital One,5
1936,VROOM,5
381,Cardinal Intellectual Property,5
1648,Shutterstock,5
200,BAIN & COMPANY,5
1965,Vertex Pharmaceuticals,5
1296,New York City FINANCIAL INFO SVCS AGENCY,5
672,Enterprise Peak,5
98,AllianceBernstein,5
1208,Molex,5
919,"IMO - Intelligent Medical Objects, Inc.",5
649,Echo Global Logistics,5
1612,Santander Bank,5
448,Citi,5
491,Commonwealth Care Alliance,5
492,Commonwealth Care Alliance Inc,5
1837,Thermo Fisher Scientific,5
719,Farmer's Fridge,5
150,AppNexus,5
1138,Martin Brower,5
898,Hopjump,5
1972,VideoAmp,5
1055,Kyruus,5
737,Fitbit,5
711,FIS,5
1571,Rue Gilt Groupe,5
336,CBS,5
1608,Salesforce,5
1061,Label Insight,5
1040,Kemper,5
247,Biogen,5
1611,Sanofi,5
1521,Raytheon,5
1687,Spectrum,4
88,Akamai,4
1227,Mudd Advertising,4
1868,Trianz,4
671,Enstoa,4
752,"Foundation Medicine, Inc.",4
1960,Veolia,4
1041,Keurig Dr Pepper Inc.,4
1811,The Field Museum,4
820,Granite Telecommunications,4
1197,Mintel,4
1064,"Laufer Group International, Ltd.",4
1212,MongoDB,4
34,AIR,4
1738,Syngenta,4
709,FDM Group,4
690,EverQuote,4
1741,Syrinx,4
1112,MCR Labs,4
1986,"Vizient, Inc.",4
1842,ThoughtWorks,4
1164,MedPro Group,4
718,Fareportal Inc.,4
1699,Staples,4
977,Intercontinental Exchange,4
999,JOYN BIO,4
970,Integral Health,4
1762,Take-Two,4
1847,Toast,4
806,GoHealth,4
1900,US Department of Transportation,4
926,IPG Mediabrands,4
1378,Oracle,4
552,Cushman & Wakefield,4
426,Chewy,4
163,Arcadia.io,4
1539,Reonomy,4
525,Cortland Capital Market Services LLC,4
909,Hyatt,4
1577,S&P GLOBAL MARKET INTELLIGENCE,4
1438,Phoenix Marketing International,4
42,ASSURANCE Independent Agents,4
2059,Yieldmo,4
1530,Redwood Logistics,4
1480,Public Consulting Group,4
2076,Zylotech,4
1492,PwC,4
2080,comScore,4
1497,Quantexa,4
2082,dv01,4
1514,RSM US LLP,4
170,Ascensia Diabetes Care,4
130,Amgen,4
102,Allianz Global Corporate & Specialty,4
