,job_title,company_name
116,Business Analyst,293
450,Data Scientist,234
390,Data Engineer,226
338,Data Analyst,213
1027,Senior Data Scientist,110
0,"""Guide"" Telephone Representative (Remote)",52
1052,Siri - Senior Data Scientist (Machine Learning & Natural Language),48
223,Business Systems Analyst,40
1049,Senior Systems Engineer/Data Scientist,39
1134,Technical Business Analyst,29
662,Healthcare Data Analyst,25
1090,Sr. Data Scientist,25
1017,Senior Data Engineer,25
1086,Sr. Data Engineer,24
854,Principal Data Scientist,24
194,Business Development Analyst,24
948,SENIOR DATA ENGINEER,23
485,Data Scientist I,22
548,Data/Business Intelligence Engineer,22
892,Quality Control Data Reviewer (Research),22
294,Compensation and Data Analyst,22
1054,Software Business Analyst,22
1076,Sr Data Scientist,22
380,Data Architect,21
24,"Analyst, Business Solutions Group",21
789,Marketing Data Analyst II,21
438,Data Processing Engineer (Junior),21
758,Logistics Data Analyst I,21
751,Lead Data Engineer,21
8,Amazon Business / Inventory Analyst – Entry Level,21
666,Healthcare Data Scientist,21
1103,"Statistical Genetics, Data Scientist",21
607,Expert Data Analyst,21
577,ETL Data Engineer,20
278,Clinical Business Analyst – Laboratory Systems (Blood Bank Systems Analyst),20
226,Business Systems Analyst - Banking,20
215,Business Reporting Analyst - Healthcare,20
853,Principal Data Engineer (NYC),20
655,Health Care Data Analyst,20
717,Jr. Transportation Engineer,20
732,Junior Helpdesk Support Engineer,20
764,Machine Learning Data Scientist,20
945,SAP Data Analyst,20
20,Analyst – Strategy and Business Development – Tech Startup,20
957,SQL Server Data Engineer,20
961,STAFF DATA ARCHITECT ENGINEER,20
1055,Software Data Engineer,20
1083,Sr. Business Analyst-Logistics,20
1149,UX Data Scientist,20
136,Business Analyst - Telecom,20
870,Product Marketing Engineer,19
330,DATA Analyst/Report Writer,19
1066,Solutions Sales Specialist - Future Data Center,19
1169,nCino Business Systems Analyst,19
41,Applications & Business Analyst,18
228,Business Systems Analyst - Infrastructure,18
918,Research Analyst,18
1001,Senior Business Analyst,18
1031,Senior Data Scientist - Hux,17
197,Business Intelligence Analyst,16
526,Data Scientist/Data Science Instructor,16
893,Quality Data Analyst,14
1093,Sr.Data Analyst,14
891,QI Analyst,14
916,Reporting Analyst,14
886,QA Analyst,13
556,DevOps Engineer,13
967,Sales Engineer (SaaS/Martech),13
262,Cell Biology Research Scientist,12
987,Senior Analyst - Implementation,12
558,Digital Business Analyst,12
393,Data Engineer (Technology Startup),11
169,"Business Analyst, Retail Operations",11
321,Customer Service Analyst,11
839,Plant Engineer,10
989,"Senior Analyst, Business Operations",10
578,ETL Data Warehouse Automation Engineer,10
297,Computational - Imaging Scientist,10
64,Associate Data Scientist,10
1044,Senior Media Analyst,10
726,Junior Data Scientist,9
1013,Senior Data Analyst,9
160,"Business Analyst, Finance",9
580,Electrical Designer (Data Center Design/Construction),9
944,Royalty Analyst,9
317,Customer Data Analyst,9
724,Junior Data Analyst,8
