,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date
1,pj_c3bc11267ccede5a,Boston,data+engineer,Data Engineer,Sea Machines Robotics Inc.,NOT_FOUND,"Manage and perform data analysis to identify data quality issues. In-depth understanding of database design and structure principles, data management...",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHdFIJfBLGYbx_TzBCBsgbK0Due77H36xmGRpY2MfZsPwTPTh4aSQRFNCGEArHnMvviCNe5JnuWNMqtdZcBvIfU2yZuPy0QwO0-wkoQzNojCcEfroTLtF0vikT6bN9EMogcSG1Aq6SrRcAZCVGhDs0Ix9Rr1aQ5j0uxqTTt-EjeyTBoB_QUfe9YU2tS2_jJbIBajWRN6KiMN4l7kFCPxqbPZ4Yq5QnQtSGBMVeGkBpXzbmy9FT4cYS8m6i0JB7lh7tfXE6dFjqe38uiCH7y6jGjKLjUBOfW63_GUWTKvvx4ZRsDYLNKjL06yqbFoNa5OcpyDnIv2CxbeH637fUvwl-58cgH0MkDjBC1HCslvF6xu_iKZ0awwkw6VQjxEEtfjUy6BKZ6MadDCydpc4R_oAL_bq0ybUEQ9ZNEvq-HXWY7g==&p=0&fvj=1&vjs=3,NOT_FOUND
2,pj_7284f97476394efc,Boston,data+engineer,Senior Systems Engineer/Data Scientist,Cenergy International Services,NOT_FOUND,"At least 5 years of work experience with 2 years focused on Data Science/ Analysis (e.g., Data Mining and Processing, Building Analytic Systems driving business...",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BbyS3g3l0OnpNvA1X8G22NJOCiqpCoEy0AiiwsVTMfNEChf2Nt7d0n385_i-_sP9-4j7BZ1p7Fv2Bx0nzpwgPsLbSq72mZ_gxwdBW3Jku5LMYiqn95yk8eKaXADs7e1NnksDpaVHTWVujPjW7-JgmZBSifOsk7EIdM8br02PNBObK7WHQx9Ob4DxavCHuRTvJdXCBQrkouVyWStHM95s4eWpbHtU2r4Sspx95iizgvTc2fVMfPDolkIM5rvvCCtpTMECyPj2cim7DqP_4sFU5h6DkX2p7c59q0QlOggMBxem2ggznUYpmgt7brleGmWDIro0e2p24PJYjRrqjoOTlJwaO_W4JwbgX_qupZk3gs_Gimy6kOYxpJ8H5cGI-RqJbuiTt6AKJ6q85GmmKSOC_3grYVXpGSHRQNOdARbjmVn5BRYCifOzrIXK_clvw7_jlTncnJL8edYA==&p=1&fvj=1&vjs=3,NOT_FOUND
3,pj_c98d1ce3ee653cc4,Boston,data+engineer,Junior Helpdesk Support Engineer,"Bay State IT, Inc.",NOT_FOUND,Communicate with Helpdesk/Field Engineers. Some analytical ability is required in order to gather and interpret data in situations where the problems are...,"
                $38,000 - $44,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Aq7V8qbMAPCPg74Ici3Ykfl8KCDQgSE3oM5G8LA-BPGL4P7_NeGmqL6h56dgQ3yNc-yB19iAVZTppDacNzSLfgmnOkXuTdxUZimUbUSIOtclpF8Q6JmzeexoW_JNxtMhavoVKqDuuK7mtrLlFitj7PR9pnsn5fgt00lI8G7fBgAkzDJW_uIINpIuGWIKBd_4fe14KEMG0ZVqqECrni3SZMg9geNDQ6HWNGrwyBHJgPct1SS9sEYGBfWjaHW6c1e1hysASB1GhRMCd347OMhIbG-vV05eC4uL6o6_iCndKxiTpz9LHVWxupY9-dfoHmbj_thV9hiqbFqtwJoMLBbgsmFF1RJFCQGEaIBlfCSbb4QjpSQIH8my85mmEUr3X0xSWHSBYsNHWBwKjIr6X64Uk3qtoEbzyZ_12AJeS8NfNxO8GPGT4MpLjZg0cKNUMbjRg=&p=2&fvj=1&vjs=3,NOT_FOUND
4,pj_ea1978312a81a089,Boston,data+engineer,Operations Associate,InsideTracker,NOT_FOUND,"Track and report business data. You will be part of a dynamic team of customer success professionals, sales executives, nutritionists, and software engineers...",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dwg_2IOKdKJg_acPgbKTyChScr5ouNCWTxgJK0kim5HvhhXXVQt0LvgQGLgOP8X-ydBQn_JCxCXeR8KjkXp1OboexuimjWMgDp-Bb00R7Y2qVF-zFWV37ythErHhYNlhAN6YRindQor5uGYj77ipwQ0fcXH2luOdLly0chfXzzKfRgqeWszYFVdBBQNQVTie-tw_K8wdDYWgZXzJVRGPg1BY1Kv1PRI_Gv1KnWvruNFj5rFj6taz5fhNIR7AwRTfSEwmdRkjNQrwepaTIfl1vYlpcV9uWYGrS0FeU6erTiYmDS_PT2pDLTA9qRte2wm44HJcFru1sp-mGigkg1Qz6WxaYAQdlHHj3ZmR2hrfHDDY1ft3-Vtc1osyR42gb9BHPPZ1SLJ8oKXzRNSjUVn-xSOZCvX4NegtMvXY8KVI7OxGFWvRNJNVom&p=3&fvj=1&vjs=3,3 days ago
5,pj_79cf28cf1a59a2c2,Boston,data+engineer,Data Architect,Wayfair,NOT_FOUND,"A data architect builds the foundation of Wayfair's data ecosystem, partnering across engineering and business to ensure the timeliness, cleanliness and...",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BWKOYaUJfzlpbj8B4EVHsr8Rk3do3CBb7WzQD7M0cgO4MmQYBeubwD0nUaCahAaLhz3rqYe-iK6Wc0QxBMD-_Wu2HLMLhLJI-Y3rzxcZRSwY9fvZs1Y3uJcPW6XOcaYD75fKkB1XAJkgT9KayCvVWRbPevAyLMwxd0Bi37aQb8XQSJbX4tBJkGNlkhCK-1RCfyOzzoC5eD6bQb2TrLOhFb18LcNt9cBRQjdS5oBfcfts1M7WeFAwBpXSM7WPXGiOK1IC3LLugfs50vOQEmG8RX0rDmxXouNuQv1sJ9fkFtcpYcbDG_cVIe4s4rdDRjEv6ZDorcxtc-x0vauYRrnflU4DRW0TLi59b1p-ObW6tgiVZAAKkiYcFNDzxeDpqipBldMv1P6t7Z67Fh5ebjXraydIziga-1IPkXI2-mpK7_09LaPv1vDFcd2-P9V-JL24gSOD5LKiav_TX-kCdwuldWHEP_WO1XkVbEBTfCx2Ic_MfTiIhFkQ5CnbGeVfaE_xGD-dVVrJOcb0142oqPADP0e-KDx7TyRGw4jDcjlUDhvO7oi9gI8utnqLxLMfXFrCI=&p=4&fvj=0&vjs=3,NOT_FOUND
6,pj_4cf706310e6f3330,Boston,data+engineer,Product Marketing Engineer,"Sifos Technologies, Inc.",NOT_FOUND,Sifos is the industry leader in the test and qualification of equipment that utilizes the expanding Power-over-Ethernet standard for combining high speed data...,"
                $70,000 - $90,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BH-Ox1QkPFMCkX4MhMorLi97ErmB4kRLTJPdbKUhezxp0F44gdSh8FwCKSUNNtJujXX56ezXPst39saFHqi2Kv8Gx_GShHfzg_NIkYDNJmVuKhGsYhIdJs0OX_rEVXKYi-3y1OcqfwXBfI_oPlJot1hzn29UmBT-QYtziNFlrneNlhJbWGbAoQcSB9cGQLaxmuam4l0TsL271DKrfmdJ9GKOxsYNF5IpomNGMEmPj4S5ovqr469uZcCvCS_Ag9TbiWW5WaP8yV_xgVYmkiiYmHEa3NdJTvgWhL4XL24B7f_12Fgj6pLwPFmDf9QcMx58AIQnyikYmmUCxPiqy_t2bqag5Y97qcgiPtdkSAtVddjfXW6qpwNFT0UsQkdyogP7zCeYj7Sb_rnBftaZCBsXo0ElsDk4k4DbLbHoF0Tt3x2Z_bSd8NssB6j1Ve8tYVN6c=&p=5&fvj=1&vjs=3,NOT_FOUND
7,pj_0ed122a2e7b996ec,Boston,data+engineer,Siri - Senior Data Scientist (Machine Learning & Natural Language),Apple,NOT_FOUND,This role also involves technical leadership and mentorship of data scientists and machine learning engineers....,NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D4BtUbIrDMkalq6ptvGBorBWk-T6D_x1TipmER1OxNA9z07-yGEh2dSWRzX8wqAptVrDOq-s0mSesalBIvFypImfCctj9N_TvBdKeS3t9jw6AA-Hcvrchtelz0UTFWgSzLghv96iT6uKsCYXUxREXUfsu9m79gyLB1KdDMlbKGLHp8x780dzv0GRkDUHtUpaLlmG9yYxdlHj8UW_0Y3TdyDPuZ_cpQIEx0A4LlEyU9BqQPX8T2Fc6jiUqdJ6Tmr2s7tLVddL2gsV2coausWxcSMxNU4TKs910BPY2HfLD1kikV3ScTrNN9q1CsBrseT6AeV-nUkXkMS86Ir81bXixpvnShqdI6l1qdduCloLU9eFZNCj-ogzLtGs7s1RV1gBTun0HGhZfBZBcR1UN2S44Bx091HY4pRicowu8hDxuoXeK8U9nsmj2LDxvSbik_G_tW2TjNgTmSnVF1fTNXPVaOLPJoEW8YVcRfX5Y75s9Chw8J2y5MX6ylI4fA99K0le_AjppImdWu8ZPuL08u29fnCzwAex8QfvtbMffDoqmWogp7rQsrgLoNoceTDFGeESVWZfzJ4-oQo_FwtnwSnwdSC0pMjjQUwTStmwcQgSzxaROu-r1wuqqmQRBkfjctSN-P3vdyr5cAZRAPNyGbMb8794-2H1yPxn4qHhguZssWow==&p=6&fvj=0&vjs=3,NOT_FOUND
8,p_d65ca53ff756c379,Boston,data+engineer,Data Analyst,Planned Parenthood League of Massachusetts,"Boston, MA 02215 (Fenway-Kenmore area)",Work with the Senior Data Engineer to identify and validate new data sources required for organizational reports and dashboards....,"
                $54,000 - $59,000 a year",https://www.indeed.com/rc/clk?jk=d65ca53ff756c379&fccid=dda6e6eeb880f521&vjs=3,17 days ago
9,p_f2b1e032f6977343,Boston,data+engineer,Data Engineer,Wayfair,"Boston, MA","At their core, Data Engineers at Wayfair are strong technical individuals who enjoy working with large data sets....",NOT_FOUND,https://www.indeed.com/rc/clk?jk=f2b1e032f6977343&fccid=95485c6456ed2114&vjs=3,3 days ago
10,p_93b5a982b3cc019f,Boston,data+engineer,Data Engineer,Starry,"Boston, MA",GIS data experience. Build tools to monitor the flow and quality of data moving through our data pipelines. 3+ years data engineering experience....,NOT_FOUND,https://www.indeed.com/rc/clk?jk=93b5a982b3cc019f&fccid=c9a652d12a93e3c1&vjs=3,3 days ago
